State,County,1000+ Rice Growers
Alabama,BALDWIN,1
Alabama,JEFFERSON,1
Alabama,MOBILE,1
Alabama,MORGAN,1
Arkansas,ARKANSAS,75
Arkansas,ASHLEY,5
Arkansas,BAXTER,1
Arkansas,BENTON,6
Arkansas,CHICOT,16
Arkansas,CLARK,1
Arkansas,CLAY,47
Arkansas,CLEVELAND,1
Arkansas,CONWAY,4
Arkansas,CRAIGHEAD,90
Arkansas,CRITTENDEN,27
Arkansas,CROSS,57
Arkansas,DESHA,20
Arkansas,DREW,14
Arkansas,FAULKNER,6
Arkansas,FULTON,1
Arkansas,GARLAND,2
Arkansas,GRANT,1
Arkansas,GREENE,51
Arkansas,HOT SPRING,1
Arkansas,INDEPENDENCE,8
Arkansas,JACKSON,73
Arkansas,JEFFERSON,39
Arkansas,LAFAYETTE,1
Arkansas,LAWRENCE,54
Arkansas,LEE,20
Arkansas,LINCOLN,25
Arkansas,LONOKE,66
Arkansas,MILLER,6
Arkansas,MISSISSIPPI,41
Arkansas,MONROE,30
Arkansas,PERRY,2
Arkansas,PHILLIPS,26
Arkansas,POINSETT,86
Arkansas,POPE,1
Arkansas,PRAIRIE,36
Arkansas,PULASKI,27
Arkansas,RANDOLPH,37
Arkansas,SAINT FRANCIS,18
Arkansas,SALINE,1
Arkansas,SEBASTIAN,1
Arkansas,SHARP,2
Arkansas,VAN BUREN,1
Arkansas,WASHINGTON,4
Arkansas,WHITE,12
Arkansas,WOODRUFF,45
California,BUTTE,31
California,COLUSA,45
California,CONTRA COSTA,2
California,DEL NORTE,2
California,EL DORADO,1
California,GLENN,22
California,NEVADA,2
California,PLACER,2
California,PLUMAS,1
California,SACRAMENTO,5
California,SAN DIEGO,2
California,SAN FRANCISCO,2
California,SAN JOAQUIN,2
California,SAN MATEO,1
California,SHASTA,3
California,SONOMA,1
California,STANISLAUS,1
California,SUTTER,43
California,TULARE,1
California,VENTURA,1
California,YOLO,34
California,YUBA,4
Colorado,ARAPAHOE,1
Colorado,DENVER,3
Colorado,DOUGLAS,1
Colorado,LA PLATA,2
Colorado,LARIMER,1
Connecticut,FAIRFIELD,2
District of Columbia,DISTRICT OF COLUMBIA,1
Florida,BROWARD,1
Florida,CITRUS,1
Florida,ESCAMBIA,1
Florida,HENDRY,1
Florida,HILLSBOROUGH,1
Florida,MIAMI-DADE,1
Florida,PALM BEACH,3
Florida,WALTON,1
Georgia,LEE,1
Illinois,CHAMPAIGN,3
Illinois,DEWITT,1
Illinois,DUPAGE,1
Illinois,SAINT CLAIR,2
Illinois,UNION,1
Indiana,HAMILTON,2
Indiana,MONTGOMERY,1
Indiana,POSEY,1
Iowa,BOONE,1
Iowa,JASPER,1
Iowa,WARREN,1
Iowa,WOODBURY,3
Kansas,JOHNSON,1
Kentucky,WARREN,1
Louisiana,ACADIA,46
Louisiana,ALLEN,3
Louisiana,AVOYELLES,14
Louisiana,BEAUREGARD,2
Louisiana,BOSSIER,2
Louisiana,CADDO,4
Louisiana,CALCASIEU,10
Louisiana,CAMERON,2
Louisiana,CATAHOULA,10
Louisiana,CONCORDIA,17
Louisiana,EAST BATON ROUGE,3
Louisiana,EAST CARROLL,3
Louisiana,EVANGELINE,18
Louisiana,FRANKLIN,6
Louisiana,IBERIA,1
Louisiana,JEFFERSON,1
Louisiana,JEFFERSON DAVIS,44
Louisiana,LAFAYETTE,8
Louisiana,MADISON,17
Louisiana,MOREHOUSE,35
Louisiana,NATCHITOCHES,2
Louisiana,ORLEANS,1
Louisiana,OUACHITA,14
Louisiana,POINTE COUPEE,3
Louisiana,RAPIDES,6
Louisiana,RICHLAND,18
Louisiana,SAINT LANDRY,20
Louisiana,SAINT TAMMANY,1
Louisiana,TENSAS,1
Louisiana,VERMILION,18
Louisiana,WEST BATON ROUGE,1
Louisiana,WEST CARROLL,17
Maryland,FREDERICK,1
Maryland,MONTGOMERY,1
Michigan,EMMET,1
Minnesota,BELTRAMI,1
Minnesota,CLEARWATER,2
Minnesota,HENNEPIN,1
Minnesota,MAHNOMEN,1
Minnesota,ROSEAU,1
Mississippi,ADAMS,5
Mississippi,BOLIVAR,30
Mississippi,COAHOMA,5
Mississippi,DESOTO,4
Mississippi,HINDS,1
Mississippi,HUMPHREYS,1
Mississippi,JEFFERSON,1
Mississippi,LAFAYETTE,1
Mississippi,LEFLORE,4
Mississippi,PANOLA,4
Mississippi,QUITMAN,2
Mississippi,SHARKEY,1
Mississippi,SUNFLOWER,8
Mississippi,TALLAHATCHIE,2
Mississippi,TATE,1
Mississippi,TUNICA,20
Mississippi,WASHINGTON,13
Missouri,BUTLER,36
Missouri,CAPE GIRARDEAU,2
Missouri,COOPER,1
Missouri,DUNKLIN,14
Missouri,NEW MADRID,19
Missouri,PEMISCOT,27
Missouri,RIPLEY,3
Missouri,SCOTT,18
Missouri,STODDARD,30
Nebraska,FURNAS,1
New York,KINGS,1
New York,MONROE,1
North Carolina,GASTON,1
North Carolina,GUILFORD,1
North Carolina,WAKE,1
North Dakota,GOLDEN VALLEY,1
North Dakota,GRAND FORKS,1
Ohio,FRANKLIN,1
Oklahoma,MCCURTAIN,1
Oklahoma,TEXAS,1
Oklahoma,TULSA,1
Oregon,JACKSON,1
South Dakota,HANSON,1
Tennessee,BLOUNT,1
Tennessee,DAVIDSON,2
Tennessee,DYER,4
Tennessee,FAYETTE,1
Tennessee,KNOX,1
Tennessee,SHELBY,22
Tennessee,SULLIVAN,1
Tennessee,WILLIAMSON,2
Texas,AUSTIN,1
Texas,BEXAR,2
Texas,BOWIE,1
Texas,BRAZORIA,9
Texas,BRAZOS,1
Texas,CHAMBERS,6
Texas,COLORADO,11
Texas,CORYELL,1
Texas,DALLAS,3
Texas,DENTON,1
Texas,EASTLAND,1
Texas,ELLIS,1
Texas,FORT BEND,4
Texas,HARRIS,8
Texas,JACKSON,1
Texas,JEFFERSON,3
Texas,LAVACA,1
Texas,LIBERTY,2
Texas,MATAGORDA,9
Texas,MCLENNAN,1
Texas,RED RIVER,1
Texas,TARRANT,3
Texas,TRAVIS,1
Texas,WALLER,1
Texas,WHARTON,33
Texas,WILLIAMSON,1
Utah,SALT LAKE,2
Virginia,GLOUCESTER,1
Virginia,NORTHUMBERLAND,1
