State,County,RICE - ACRES HARVESTED
WISCONSIN,OZAUKEE,5
NORTH CAROLINA,PENDER,15
NORTH CAROLINA,PAMLICO,24
CALIFORNIA,MERCED,291
FLORIDA,COLLIER,300
TEXAS,AUSTIN,318
LOUISIANA,FRANKLIN,409
MISSISSIPPI,TATE,540
LOUISIANA,BEAUREGARD,577
MISSISSIPPI,DE SOTO,700
MISSOURI,MISSISSIPPI,980
LOUISIANA,RED RIVER,"1,000"
ARKANSAS,LOGAN,"1,050"
MISSISSIPPI,COAHOMA,"1,359"
LOUISIANA,LAFAYETTE,"1,376"
LOUISIANA,CAMERON,"1,827"
MISSOURI,SCOTT,"2,284"
LOUISIANA,TENSAS,"2,486"
ARKANSAS,FAULKNER,"2,592"
ARKANSAS,LAFAYETTE,"2,613"
MISSISSIPPI,TALLAHATCHIE,"2,629"
ARKANSAS,POPE,"2,890"
CALIFORNIA,PLACER,"3,214"
LOUISIANA,MADISON,"3,294"
TEXAS,JACKSON,"3,342"
CALIFORNIA,SACRAMENTO,"3,409"
ARKANSAS,PERRY,"3,450"
ARKANSAS,PULASKI,"3,473"
LOUISIANA,CATAHOULA,"3,671"
ARKANSAS,ASHLEY,"4,276"
MISSOURI,RIPLEY,"4,641"
LOUISIANA,SAINT MARTIN,"4,758"
MISSISSIPPI,LEFLORE,"5,188"
TEXAS,LAVACA,"5,318"
MISSISSIPPI,WASHINGTON,"5,538"
LOUISIANA,CALCASIEU,"5,654"
MISSISSIPPI,QUITMAN,"5,771"
ARKANSAS,DREW,"5,945"
MISSISSIPPI,PANOLA,"6,174"
TEXAS,VICTORIA,"6,391"
TEXAS,WALLER,"6,703"
LOUISIANA,CONCORDIA,"6,732"
TEXAS,LIBERTY,"7,350"
ARKANSAS,INDEPENDENCE,"7,709"
ARKANSAS,WHITE,"7,949"
LOUISIANA,RICHLAND,"8,553"
CALIFORNIA,SAN JOAQUIN,"8,561"
TEXAS,FORT BEND,"9,016"
TEXAS,JEFFERSON,"9,128"
CALIFORNIA,YOLO,"10,571"
MISSISSIPPI,SUNFLOWER,"10,681"
LOUISIANA,RAPIDES,"11,969"
TEXAS,BRAZORIA,"13,833"
TEXAS,MATAGORDA,"13,853"
LOUISIANA,AVOYELLES,"14,004"
ARKANSAS,MILLER,"14,232"
MISSOURI,NEW MADRID,"15,767"
ARKANSAS,LEE,"16,034"
ARKANSAS,CHICOT,"17,749"
ARKANSAS,PHILLIPS,"18,793"
FLORIDA,PALM BEACH,"19,937"
ARKANSAS,DESHA,"21,219"
MISSOURI,DUNKLIN,"21,420"
ARKANSAS,LINCOLN,"21,480"
MISSISSIPPI,TUNICA,"22,288"
LOUISIANA,ALLEN,"22,372"
TEXAS,CHAMBERS,"24,067"
MISSOURI,STODDARD,"24,421"
LOUISIANA,MOREHOUSE,"24,999"
LOUISIANA,SAINT LANDRY,"25,294"
MISSISSIPPI,BOLIVAR,"26,502"
ARKANSAS,CRITTENDEN,"28,360"
ARKANSAS,SAINT FRANCIS,"29,190"
TEXAS,COLORADO,"30,094"
ARKANSAS,RANDOLPH,"31,300"
ARKANSAS,MONROE,"32,351"
MISSOURI,PEMISCOT,"32,709"
CALIFORNIA,GLENN,"35,154"
CALIFORNIA,COLUSA,"36,907"
ARKANSAS,CRAIGHEAD,"38,632"
LOUISIANA,EVANGELINE,"44,570"
CALIFORNIA,SUTTER,"47,149"
CALIFORNIA,YUBA,"47,311"
ARKANSAS,MISSISSIPPI,"47,763"
MISSOURI,BUTLER,"49,849"
ARKANSAS,WOODRUFF,"50,193"
ARKANSAS,PRAIRIE,"51,570"
ARKANSAS,CROSS,"54,042"
ARKANSAS,GREENE,"55,699"
ARKANSAS,CLAY,"61,707"
TEXAS,WHARTON,"62,277"
LOUISIANA,VERMILION,"62,780"
ARKANSAS,JEFFERSON,"64,128"
CALIFORNIA,BUTTE,"69,496"
ARKANSAS,LAWRENCE,"76,825"
ARKANSAS,JACKSON,"79,804"
LOUISIANA,JEFFERSON DAVIS,"85,028"
ARKANSAS,ARKANSAS,"85,528"
ARKANSAS,POINSETT,"91,311"
ARKANSAS,LONOKE,"91,875"
LOUISIANA,ACADIA,"98,991"