Feed Manufacturers,street,city,state,postal_code,latitude,longitude,,,,,,,,,,,,,,,
"Nutrition 101, LLC",4782 Joe Frank Harris Pkwy NW,Adairsville,Georgia,30103,34.3326069,-84.9002354,,,,,,,,,,,,,,,
"Nutrition 101, LLC",4782 Joe Frank Harris Pkwy NW,Adairsville,Georgia,30103,34.3326069,-84.9002354,,,,,,,,,,,,,,,
The Quilted Barn,32673 Fern Rd,Corvallis,Oregon,97333,44.52506,-123.3674771,,,,,,,,,,,,,,,
"Nutrition 101, LLC",8201 S Palo Verde Rd,Buckeye,Arizona,85326,33.3723705,-112.6765484,,,,,,,,,,,,,,,
JDH,1680 US-60,Friona,Texas,79035,34.6191196,-102.7471953,,,,,,,,,,,,,,,
Quincy Farm Products,3501 Wismann Ln,Quincy,Illinois,62301,39.9577259,-91.3615527,,,,,,,,,,,,,,,
ADM Quincy,2100 Gardner Expy,Quincy,Illinois,62301,39.9064367,-91.4088825,,,,,,,,,,,,,,,
Livestock Nutrition Center,507 E Nelson St,Quanah,Texas,79252,34.3020134,-99.7313063,,,,,,,,,,,,,,,
"QLF, Inc.",947 E Earl Rd,New Holland,Pennsylvania,17557,40.1084438,-76.0583357,,,,,,,,,,,,,,,
"Nutrition 101, LLC",400 Stewart Rd,Wilkes-Barre,Pennsylvania,18706,41.2127217,-75.9160548,,,,,,,,,,,,,,,
Ridley Block Operations,5100 Blue Mound Rd,Fort Worth,Texas,76106,32.83174,-97.3425028,,,,,,,,,,,,,,,
Grow Masters Deer Mineral,,,,,35.232314,-91.730999,,,,,,,,,,,,,,,
Murillos Feed,,,,,35.8918955,-119.2725935,,,,,,,,,,,,,,,
Thunder Mountain Equine,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Mar Jac Feed Mill,Sheffield Ave,Spruce Pine,Alabama,35585,34.3955639,-87.7257147,,,,,,,,,,,,,,,
JDH,139 River Vista Pl #102,Twin Falls,Idaho,83301,42.5984752,-114.4784997,,,,,,,,,,,,,,,
Nichols Farms,,Cimarron,Kansas,67835,37.7802301,-100.2603722,,,,,,,,,,,,,,,
Lucerne Farms Inc,40 Eastonline Rd,Fort Fairfield,Maine,4742,46.6881537,-67.8833213,,,,,,,,,,,,,,,
J.D. Heiskell & Co.,1910 S Roosevelt Rd L,Rogers,New Mexico,88132,33.9798312,-103.2311043,,,,,,,,,,,,,,,
DFS Main Office / Billing,,Oskaloosa,Iowa,52577,41.2701533,-92.6051317,,,,,,,,,,,,,,,
Gold Star,1 Richer Drive,Adams Center,New York,13606,43.8600378,-76.009806,,,,,,,,,,,,,,,
Leland Mills TX,6320 E Stassney Ln bldg 2 ste 275,Austin,Texas,78744,30.2044509,-97.7208469,,,,,,,,,,,,,,,
"Cold Water Technologies, Inc.",,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Modesto Milling Inc.,142 Linley Ave,Empire,California,95319,37.6372072,-120.9049732,,,,,,,,,,,,,,,
Cargill Turkey Feed Mill,,California,Missouri,65018,38.6303606,-92.5476421,,,,,,,,,,,,,,,
Livestock Nutrition Center,601 Old Mill Rd,Altus,Oklahoma,73521,34.629563,-99.3400868,,,,,,,,,,,,,,,
TOMiGAi,4460 Brooks St Ste B,Montclair,California,91763,34.0620508,-117.7079675,,,,,,,,,,,,,,,
Perdue AgriBusiness - Ansonville Protein Blending Plant,2755 Old US Highway 52 W,Ansonville,North Carolina,28007,35.1855049,-80.120079,,,,,,,,,,,,,,,
AG Fibers LLC,1301 Ennis Rd,Dothan,Alabama,36303,31.2279862,-85.3439391,,,,,,,,,,,,,,,
Cheval International,3490 Horse Run Rd,Rapid City,South Dakota,57701,44.1969052,-103.272052,,,,,,,,,,,,,,,
Central Valley Ag Grinding,5509 Langworth Rd,Oakdale,California,95361,37.7198821,-120.8946677,,,,,,,,,,,,,,,
Plantation Supply,109 Courthouse Ave N,Leesburg,Georgia,31763,31.7339738,-84.1716045,,,,,,,,,,,,,,,
Cowan Animal Nutrition,,,,,39.4274849,-87.4769625,,,,,,,,,,,,,,,
HydroGreen,47168 Haylie St,Sioux Falls,South Dakota,57107,43.65483,-96.7800279,,,,,,,,,,,,,,,
O.K. Feed Mills,400-498 Wheeler Ave,Fort Smith,Arkansas,72901,35.3800798,-94.4264122,,,,,,,,,,,,,,,
DeerDoc,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Dawe's Laboratories,3355 N Arlington Heights Rd,Arlington Heights,Illinois,60004,42.1361831,-87.9824707,,,,,,,,,,,,,,,
Only Raw,301 W Griffin Pkwy,Mission,Texas,78572,26.2294058,-98.3262445,,,,,,,,,,,,,,,
Centra Sota Cooperative - Albany,1121 Co Rd 10,Albany,Minnesota,56307,45.6247562,-94.5790809,,,,,,,,,,,,,,,
Frontier Mills Inc,2002 SD-314,Yankton,South Dakota,57078,42.8819594,-97.4273861,,,,,,,,,,,,,,,
Frontier Mills Inc,2002 SD-314,Yankton,South Dakota,57078,42.8819594,-97.4273861,,,,,,,,,,,,,,,
MFA Feed Mill,285 W Pierce St,Lebanon,Missouri,65536,37.6780978,-92.6631874,,,,,,,,,,,,,,,
Timmerman Feeding Corporation,1762 US-83,Colby,Kansas,67701,39.3742523,-100.8726043,,,,,,,,,,,,,,,
EB Milling,854 Wallace St,East Bernard,Texas,77435,29.53201,-96.0699958,,,,,,,,,,,,,,,
Strong Animals Chicken Essentials,100 W College Dr Suite 200,Marshall,Minnesota,56258,44.4468264,-95.7891861,,,,,,,,,,,,,,,
Kalmbach Feeds - Warehouse 3 - MPK Complex,5968 OH-199,Carey,Ohio,43316,40.9060375,-83.339264,,,,,,,,,,,,,,,
Gold River Feed Products,783 Eagle Blvd,Shelbyville,Tennessee,37160,35.487425,-86.408438,,,,,,,,,,,,,,,
Bakery Feeds,2451 Grant Rd,North Baltimore,Ohio,45872,41.1899833,-83.6463699,,,,,,,,,,,,,,,
Cape & Son,101 FM 419,Sweetwater,Texas,79556,32.4889269,-100.4082562,,,,,,,,,,,,,,,
Merced Milling Inc,40 Market St,Planada,California,95365,37.2885075,-120.3207019,,,,,,,,,,,,,,,
Wenger's Feed Mill,6829 PA-405,Muncy,Pennsylvania,17756,41.1947447,-76.8224185,,,,,,,,,,,,,,,
Des Moines Feed,2010 Hubbell Ave,Des Moines,Iowa,50317,41.5993015,-93.5815461,,,,,,,,,,,,,,,
Catfish Charlie Bait Co,3015 Lincoln Ave,Oskaloosa,Iowa,52577,41.2191324,-92.6545283,,,,,,,,,,,,,,,
Winner Circle Feedyard LLC Syracuse,2700 W US-50,Syracuse,Kansas,67878,38.0074648,-101.8113779,,,,,,,,,,,,,,,
Diamond Pet Food Processors-Rpn,942 S Stockton Ave,Ripon,California,95366,37.7318176,-121.1180982,,,,,,,,,,,,,,,
Gold Star Feed and Grain,7593 US-20,Waterville,New York,13480,42.9147224,-75.3840408,,,,,,,,,,,,,,,
Mars Horsecare US Inc,330 E Schultz Ave,Dalton,Ohio,44618,40.8005827,-81.6887388,,,,,,,,,,,,,,,
Hare Today-Gone Tomorrow,23596 Palmer Rd,Springboro,Pennsylvania,16435,41.7951591,-80.4279685,,,,,,,,,,,,,,,
Phillips pet food & supplies,109 Knightsridge Rd,Spartanburg,South Carolina,29303,34.9870985,-82.0400935,,,,,,,,,,,,,,,
ProVision Partners Cooperative Stratford Feed Mill,212821 Legion St,Stratford,Wisconsin,54484,44.8004745,-90.0773352,,,,,,,,,,,,,,,
Quality Liquid Feeds,2530 Port Pl,Muskogee,Oklahoma,74403,35.7809829,-95.3026809,,,,,,,,,,,,,,,
"Ajinomoto Animal Nutrition North America, Inc.",8430 W Bryn Mawr Ave ste 650,Chicago,Illinois,60631,41.9831281,-87.8397032,,,,,,,,,,,,,,,
Sharp's Little Pig Town LLC,,,,,51.2072,-121.9883,,,,,,,,,,,,,,,
Simmons Pet Food,316 N Hico St,Siloam Springs,Arkansas,72761,36.1874698,-94.5337788,,,,,,,,,,,,,,,
"Hopedale Agri Center, Inc. & The Mill Gift Shop",615 IL-122,Hopedale,Illinois,61747,40.4252373,-89.4187963,,,,,,,,,,,,,,,
Hamm Feeds LLC,814 Hansberry Rd,Memphis,Indiana,47143,38.48738,-85.7403871,,,,,,,,,,,,,,,
Heritage Beef,1506 Co Rd 30,Sublette,Kansas,67877,37.7075949,-100.8435706,,,,,,,,,,,,,,,
Northland Choice,437 34th Ave S,Waite Park,Minnesota,56387,45.5456349,-94.2646112,,,,,,,,,,,,,,,
Wilroads Feed Yard,11449 Lariat Way,Dodge City,Kansas,67801,37.7163276,-99.9597091,,,,,,,,,,,,,,,
APEX FEED,251 SW 1030th Ave,Wilburton,Oklahoma,74578,34.9084161,-95.3714099,,,,,,,,,,,,,,,
New Fashion Pork,2790 Little Wall Lake Rd,Jewell,Iowa,50130,42.3851022,-93.6402174,,,,,,,,,,,,,,,
New Country Organics,801 2nd St,Waynesboro,Virginia,22980,38.0782482,-78.8735739,,,,,,,,,,,,,,,
Ocean Nutrition,8239 Enterprise Dr,Newark,California,94560,37.5225826,-122.045301,,,,,,,,,,,,,,,
Wenger's Feed Mill,8959 PA-25,Spring Glen,Pennsylvania,17978,40.6197834,-76.6471082,,,,,,,,,,,,,,,
Cobb-Vantress Inc Feed Mill,1475 Old Burkesville Rd,Albany,Kentucky,42602,36.7002466,-85.1607883,,,,,,,,,,,,,,,
Christensen Farms Feed Mill,10100 360th St,Forest City,Iowa,50436,43.287273,-93.7909534,,,,,,,,,,,,,,,
American Pet Dinner,1497 4000 N,Buhl,Idaho,83316,42.5779201,-114.7514082,,,,,,,,,,,,,,,
Graham's Organic Livestock Feeds,3654 E Weidman Rd,Rosebush,Michigan,48878,43.6834889,-84.7742809,,,,,,,,,,,,,,,
NewStar Sourcing And Service,805 S Union St,Fremont,Nebraska,68025,41.4226726,-96.4938128,,,,,,,,,,,,,,,
MC Distributors,1171 Bradyville Hill Rd,Bradyville,Tennessee,37026,35.7394982,-86.1479692,,,,,,,,,,,,,,,
Mid-State Milling,620 W 3rd St,Carroll,Iowa,51401,42.0643386,-94.8771133,,,,,,,,,,,,,,,
Meiserville Feeds,127 Mill Rd,Mt Pleasant Mills,Pennsylvania,17853,40.6676775,-76.9744708,,,,,,,,,,,,,,,
Holmes Foods Inc - Broiler Feedmill,2170 Farm to Market 108 S,Gonzales,Texas,78629,29.4210264,-97.5093033,,,,,,,,,,,,,,,
Farmer's Market of Bolivar,1184 E 460th Rd,Bolivar,Missouri,65613,37.5835683,-93.4157734,,,,,,,,,,,,,,,
Alfagreen Supreme,2404 N Summit St,Toledo,Ohio,43611,41.6738114,-83.501607,,,,,,,,,,,,,,,
Harrison Poultry Inc Feed Mill,243 E Midland Ave,Winder,Georgia,30680,33.981788,-83.7099834,,,,,,,,,,,,,,,
Cargill Animal Nutrition,200 Kean St,Albany,New York,12202,42.6197177,-73.7625417,,,,,,,,,,,,,,,
Daily Dose Equine LLC,11339 Liberty Rd,Frederick,Maryland,21701,39.4739265,-77.2697644,,,,,,,,,,,,,,,
"Kreamer Feed, Inc.",215 Kreamer Ave,Kreamer,Pennsylvania,17833,40.8024754,-76.9727465,,,,,,,,,,,,,,,
ADM Animal Nutrition,1300 W Locust St,Springfield,Missouri,65803,37.2269421,-93.308987,,,,,,,,,,,,,,,
Research Diets Inc,20 Jules Ln,New Brunswick,New Jersey,8901,40.473752,-74.4824275,,,,,,,,,,,,,,,
Insight FS,206551 County Hwy M,Stratford,Wisconsin,54484,44.7435448,-90.0244146,,,,,,,,,,,,,,,
Prestage Farms Inc,735 Moltonville Rd,Clinton,North Carolina,28328,34.9870323,-78.253282,,,,,,,,,,,,,,,
CORNERSTONE ORGANIC FEED LLC,509 Long Ln,Kutztown,Pennsylvania,19530,40.546421,-75.7413497,,,,,,,,,,,,,,,
Stevens Feed Mill Inc,28 Stevens Rd,Stevens,Pennsylvania,17578,40.2147277,-76.153624,,,,,,,,,,,,,,,
Purina Mills,2726 W Division St,Springfield,Missouri,65802,37.2250813,-93.3311871,,,,,,,,,,,,,,,
Hostetler Feed Mill,,Buffalo,Missouri,65622,37.5938569,-93.124292,,,,,,,,,,,,,,,
Tyson Foods Feed Mill- Banks,498 Co 4434,Banks,Alabama,36005,31.7889295,-85.8217477,,,,,,,,,,,,,,,
"AccuForage- Greendale Farms, LLC",3217 US-6,Kane,Pennsylvania,16735,41.6931682,-78.8514986,,,,,,,,,,,,,,,
The Dog Bone LLC,49 Beelzebub Rd,South Windsor,Connecticut,6074,41.8380159,-72.5308794,,,,,,,,,,,,,,,
Seminole Feed,335 NE Watula Ave,Ocala,Florida,34470,29.1906764,-82.1336482,,,,,,,,,,,,,,,
Cohocton Valley Mill,40 Mill St,Cohocton,New York,14826,42.4954076,-77.5028289,,,,,,,,,,,,,,,
"F.M. Brown's Sons, Inc.",205 Woodrow Ave,Sinking Spring,Pennsylvania,19608,40.3221616,-76.0253894,,,,,,,,,,,,,,,
"F.M. Brown's Sons, Inc.",205 Woodrow Ave,Sinking Spring,Pennsylvania,19608,40.3221616,-76.0253894,,,,,,,,,,,,,,,
Seaboard Foods of Iowa LLC,411 Lawler St,Iowa Falls,Iowa,50126,42.5094239,-93.2702292,,,,,,,,,,,,,,,
Holmes Foods - Breeder Feedmill,1045 Co Rd 284,Harwood,Texas,78632,29.6128016,-97.4641858,,,,,,,,,,,,,,,
International Feed Pellet Manufacturing LLC,1323 SE 17th St APT 521,Fort Lauderdale,Florida,33316,26.1015797,-80.1303069,,,,,,,,,,,,,,,
Franklin Feeds Letterkenny,323 Development Ave,Chambersburg,Pennsylvania,17201,40.0038871,-77.6550216,,,,,,,,,,,,,,,
Chuckanut,38942 Mason St SE,Albany,Oregon,97321,44.7066702,-123.0500066,,,,,,,,,,,,,,,
Barnyard Feeds,1585 Shadow Ave,Charles City,Iowa,50616,43.1274928,-92.6729803,,,,,,,,,,,,,,,
Tyson Feed Mill- Craig,4234 Red Arrow Rd,Broken Bow,Oklahoma,74728,34.0253658,-94.6308351,,,,,,,,,,,,,,,
Foxden Equine,2428 Stuarts Draft Hwy,Stuarts Draft,Virginia,24477,38.0317729,-79.0453837,,,,,,,,,,,,,,,
Hubbard Feeds,23650 MN-60,Worthington,Minnesota,56187,43.6519134,-95.5420017,,,,,,,,,,,,,,,
Fisher's Molasses,34 Keefer Ln,Shippensburg,Pennsylvania,17257,40.072541,-77.478059,,,,,,,,,,,,,,,
"Pacific Elements, LLC.",5001 Prairie Flower Rd,Ceres,California,95307,37.5663592,-120.9294734,,,,,,,,,,,,,,,
Maiz en Elsa,422 E Vfw Ave,Elsa,Texas,78543,26.296268,-97.9875026,,,,,,,,,,,,,,,
"Purina Animal Nutrition (Spencer, WI)",213644 State Hwy 13,Spencer,Wisconsin,54479,44.8072397,-90.3107036,,,,,,,,,,,,,,,
Perdue Foods LLC,16939 State Rte 20,Burlington,Washington,98233,48.4582355,-122.3798616,,,,,,,,,,,,,,,
Land O'Lakes Purina Feed,505 N 4th St,Richmond,Indiana,47374,39.8342202,-84.8949997,,,,,,,,,,,,,,,
Land O' Lakes - Nutra Blend - Purina Animal Nutrition,1609 19th St SW,Mason City,Iowa,50401,43.1309584,-93.2282965,,,,,,,,,,,,,,,
CHS Nutrition,8170 State Rte 13,Edgeley,North Dakota,58433,46.3548874,-98.7084574,,,,,,,,,,,,,,,
C P Feeds LLC,16322 E Washington St,Valders,Wisconsin,54245,44.066843,-87.905005,,,,,,,,,,,,,,,
CHS Nutrition Inc.,815 S 2nd St,Harrisburg,Oregon,97446,44.265233,-123.17096,,,,,,,,,,,,,,,
"Omega Protein, Inc.",9730 Andrew Rd,Abbeville,Louisiana,70510,29.822016,-92.133399,,,,,,,,,,,,,,,
Alura – Animal Health,1307 Person St,Durham,North Carolina,27703,35.9657134,-78.8749702,,,,,,,,,,,,,,,
Livestock Nutrition Center,13824 US-64,Atkins,Arkansas,72823,35.241393,-92.9137039,,,,,,,,,,,,,,,
Father Nature,6509 SC-260,Manning,South Carolina,29102,33.6181029,-80.2118825,,,,,,,,,,,,,,,
New Country Organics,211 15th St,Lubbock,Texas,79401,33.5816154,-101.8372192,,,,,,,,,,,,,,,
Etna Valley Feed,4336 State Hwy 288,Ozark,Arkansas,72949,35.3620534,-93.8550167,,,,,,,,,,,,,,,
Crude Carnivore,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Fairview Mills,"707 South, MO-59",Anderson,Missouri,64831,36.6441203,-94.4508452,,,,,,,,,,,,,,,
Tyson Feed Mill Sedalia,22749 State Hwy T,Sedalia,Missouri,65301,38.7490046,-93.3420028,,,,,,,,,,,,,,,
Land O'Lakes Purina Feed,1125 Purina Dr,Gainesville,Georgia,30501,34.2958586,-83.8085042,,,,,,,,,,,,,,,
"Form-A-Feed, Inc",841 North St,Stewart,Minnesota,55385,44.7267877,-94.4880216,,,,,,,,,,,,,,,
Lincoln Premium Poultry Feed Mill,2045 S Downing St,Fremont,Nebraska,68025,41.4111061,-96.4795837,,,,,,,,,,,,,,,
Prince Agri Products Inc.,6930 F St,Omaha,Nebraska,68117,41.2204502,-96.0201173,,,,,,,,,,,,,,,
MFA Agri Services,228 Main St,Gerald,Missouri,63037,38.4020118,-91.3305053,,,,,,,,,,,,,,,
"Newtown Farm Service, Inc",2231 IN-341,Attica,Indiana,47918,40.2086334,-87.1480322,,,,,,,,,,,,,,,
GB Feeds,,,,,38.308747,-101.745609,,,,,,,,,,,,,,,
Tyson farms,2209 Expansion Blvd,Storm Lake,Iowa,50588,42.6371964,-95.1668513,,,,,,,,,,,,,,,
Afgritech Llc,810 Waterman Dr,Watertown,New York,13601,43.9738729,-75.9294349,,,,,,,,,,,,,,,
Livestock Nutrition Center,1310 12th Rd,Lyons,Kansas,67554,38.3464957,-98.2753144,,,,,,,,,,,,,,,
Lyssy and Eckel Scale,,Floresville,Texas,78114,29.080706,-98.0705634,,,,,,,,,,,,,,,
Majestic Milling Company,13164 FR 1010 #1005,Exeter,Missouri,65647,36.7454716,-94.0568908,,,,,,,,,,,,,,,
NickerDoodles Gourmet Horse Treats,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
EZ Hulls,,,,,37.2691675,-119.306607,,,,,,,,,,,,,,,
"Trillium Farm Holdings, LLC",10750 Croton Rd,Hartford,Ohio,43013,40.2348482,-82.6873117,,,,,,,,,,,,,,,
Simmons Protein,10700 State Hwy 43,Southwest City,Missouri,64863,36.5442123,-94.600296,,,,,,,,,,,,,,,
"United Animal Health, Inc",116 2nd St,Gridley,Illinois,61744,40.741305,-88.8825008,,,,,,,,,,,,,,,
"Integrated Proteins, LLC",1801 NW Platte Rd Suite 200B,Riverside,Missouri,64150,39.1671123,-94.6036021,,,,,,,,,,,,,,,
Ocean Star International,65 N Stone Rd,Snowville,Utah,84336,41.9668343,-112.7108034,,,,,,,,,,,,,,,
Custom Feeds,2392 231st St,Muscatine,Iowa,52761,41.4170546,-91.1023382,,,,,,,,,,,,,,,
River Valley Ing. Tyson Foods,,Muscatine,Iowa,52761,41.3703307,-91.1184532,,,,,,,,,,,,,,,
Allied Coop,1015 E Broadway St,Blair,Wisconsin,54616,44.2942361,-91.2142942,,,,,,,,,,,,,,,
Agrifeed Inc,30 Wall St 8th floor,New York,New York,1005,40.7070319,-74.0098964,,,,,,,,,,,,,,,
Heimsoth Brothers Feed,201 E Junge St,Cole Camp,Missouri,65325,38.4614551,-93.202339,,,,,,,,,,,,,,,
Riverview Farms Feedmill,6956 IN-337,Orleans,Indiana,47452,38.6546495,-86.4288438,,,,,,,,,,,,,,,
For the Birds,"Critter Cottage, 8 Town Plaza, Kroegers, 8 Town Plaza",Durango,Colorado,81301,37.2747,-107.881736,,,,,,,,,,,,,,,
Yaggies Inc.,3405 W City Limits Rd,Yankton,South Dakota,57078,42.9139204,-97.4192454,,,,,,,,,,,,,,,
Precision Nutrition,102 S Depot St,Parkston,South Dakota,57366,43.3943569,-97.9843983,,,,,,,,,,,,,,,
Haas Acres,14993 481st Ave,Madelia,Minnesota,56062,43.9847797,-94.3384663,,,,,,,,,,,,,,,
Dyets Inc.,2508 Easton Ave,Bethlehem,Pennsylvania,18017,40.642998,-75.348702,,,,,,,,,,,,,,,
Forget Genetics LLC,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Forget Genetics LLC,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Furry Fam,704 Legion Dr Unit 4,Destin,Florida,32541,30.3965532,-86.4899466,,,,,,,,,,,,,,,
Whitmus Enterprises,16051 Railroad St NW,Ephrata,Washington,98823,47.3259666,-119.5164749,,,,,,,,,,,,,,,
Feed Sources,1916 Gallagher Dr,Sherman,Texas,75090,33.6721807,-96.5950563,,,,,,,,,,,,,,,
"Zeocem, Inc.",5500 Highlands Pkwy SE,Smyrna,Georgia,30082,33.8296897,-84.5117155,,,,,,,,,,,,,,,
Union Pacific Global IV Transload / JCT,2600 Centerpoint Way,Joliet,Illinois,60436,41.4733654,-88.1181019,,,,,,,,,,,,,,,
Kalmbach Feeds - REK Feed Mill,11218 Co Hwy 44,Upper Sandusky,Ohio,43351,40.8766305,-83.3289335,,,,,,,,,,,,,,,
Buck Forage - Food Plot products - Best Deer Food Plot Seed - Top Deer Feed Oats - United States,35529 FM 1093,Simonton,Texas,77476,29.6789971,-95.9787137,,,,,,,,,,,,,,,
Westway Feed Products LLC,1201 M St,Omaha,Nebraska,68107,41.2105508,-95.9308792,,,,,,,,,,,,,,,
Raeford Farms Of Louisiana Feed Mill,447 N Depot Ave,Choudrant,Louisiana,71227,32.5263806,-92.5138442,,,,,,,,,,,,,,,
Colorado Egg,19166 State Hwy 52,Fort Lupton,Colorado,80621,40.0805085,-104.6939527,,,,,,,,,,,,,,,
Nature Tails,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
MPG FEEDMILL,199 S 14th St,Atchison,Kansas,66002,39.5598339,-95.1355067,,,,,,,,,,,,,,,
Steer Feeders Limited LLC,W10075 Triple Kay Rd,Rosendale,Wisconsin,54974,43.7929568,-88.6627683,,,,,,,,,,,,,,,
Furst-McNess Company,5435 NW 100th St Suite 401,Johnston,Iowa,50131,41.6593989,-93.7548964,,,,,,,,,,,,,,,
Western Milling Co,15290 C St,McFarland,California,93250,35.5955123,-119.2058944,,,,,,,,,,,,,,,
