Feed Manufacturers,street,city,state,postal_code,latitude,longitude,,,,,,,,,,,,,,,
lila´s taste,,,,,28.1385909,-81.4823137,,,,,,,,,,,,,,,
Riomax,816 Northwood Dr,Redwood Falls,Minnesota,56283,44.5474125,-95.0890919,,,,,,,,,,,,,,,
Penny Newman Grain Co.,505 Independence Ave,Kennett,Missouri,63857,36.2421978,-90.0360522,,,,,,,,,,,,,,,
Midwest PMS LLC,4340 Co Rd 8,Hereford,Texas,79045,34.8490299,-102.3036436,,,,,,,,,,,,,,,
Livestock Nutrition Center,4315 Co Rd 8,Hereford,Texas,79045,34.8503219,-102.3061248,,,,,,,,,,,,,,,
Pilgrim's Pride Corporation,217 Market St,Pittsburg,Texas,75686,32.9975056,-94.9724038,,,,,,,,,,,,,,,
Boyd Station LLC,557 Elysburg Rd,Danville,Pennsylvania,17821,40.9376358,-76.5996824,,,,,,,,,,,,,,,
Perdue Farms - Candor Feed Mill,189 Perdue Way,Eagle Springs,North Carolina,27242,35.3018385,-79.7076911,,,,,,,,,,,,,,,
Perdue Farms - Elkin Feed Mill,105 Greenwood Cir,Elkin,North Carolina,28621,36.2754553,-80.765606,,,,,,,,,,,,,,,
Big Gain Inc,418 Mathews St,Mankato,Minnesota,56001,44.1518062,-94.0366422,,,,,,,,,,,,,,,
Imperial Pre-Mix Co,422 E Barioni Blvd,Imperial,California,92251,32.8471191,-115.5645911,,,,,,,,,,,,,,,
Farrier's Magic,888 School St,Okolona,Ohio,43545,41.3548626,-84.2177011,,,,,,,,,,,,,,,
Tyson Foods Feed Mill- Dexter,12845 Co Rd 717,Dexter,Missouri,63841,36.8004144,-89.9352992,,,,,,,,,,,,,,,
Wayne Farms Feed Mill,825 Twin Mill Dr,Maysville,Georgia,30558,34.2456445,-83.5491353,,,,,,,,,,,,,,,
Mountaire Farms Feed Mill -- Millsboro,29107 John J Williams Hwy,Millsboro,Delaware,19966,38.6011062,-75.2662317,,,,,,,,,,,,,,,
Allied Cooperative | Seymour Feed/Grain,440 Morrow St,Seymour,Wisconsin,54165,44.5128863,-88.3355366,,,,,,,,,,,,,,,
Bachoco USA Feed Mill - Heavener,18593 OK-128,Heavener,Oklahoma,74937,34.8732203,-94.5866016,,,,,,,,,,,,,,,
Tyson Foods Feed Mill- Holdenville,201 Kingsberry Rd,Holdenville,Oklahoma,74848,35.0820494,-96.4216077,,,,,,,,,,,,,,,
Ardent Mills (Wheat Midds Loadout),210 William St,Alton,Illinois,62002,38.8910332,-90.1901126,,,,,,,,,,,,,,,
Haystack Farm & Feeds,556 SW Holly Ln,Culver,Oregon,97734,44.5315255,-121.1411754,,,,,,,,,,,,,,,
"Snider's Elevator, Inc.",4551 Lemar Rd,Mercersburg,Pennsylvania,17236,39.8615159,-77.860911,,,,,,,,,,,,,,,
"The Feed Mill, Inc.",104 5th Ave SE,Barnesville,Minnesota,56514,46.648911,-96.419487,,,,,,,,,,,,,,,
Vitalix Manufacturing Plant,"3278 Road, Rd 101E",Sidney,Nebraska,69162,41.2258553,-103.092862,,,,,,,,,,,,,,,
Vitalix Inc,1820 10th Ave,Sidney,Nebraska,69162,41.1354825,-102.9765235,,,,,,,,,,,,,,,
Baja Yucca Company,8711 E Pinnacle Peak Rd #263,Scottsdale,Arizona,85255,33.6979251,-111.893088,,,,,,,,,,,,,,,
"St. Ansgar Mills, Inc.",402 E 7th St,St Ansgar,Iowa,50472,43.3755521,-92.9148759,,,,,,,,,,,,,,,
R & W Milling Co,18124 Military Trail Rd,Wamego,Kansas,66547,39.2025556,-96.2947804,,,,,,,,,,,,,,,
Imperial Western Products,86600 Avenue 54,Coachella,California,92236,33.6576942,-116.1580627,,,,,,,,,,,,,,,
Alabama Catfish Feedmill LLC,1420 Washington St,Uniontown,Alabama,36786,32.4483718,-87.499649,,,,,,,,,,,,,,,
HOG Farms and Feed,14425 SE Wallace Rd,Dayton,Oregon,97114,45.1541426,-123.0558857,,,,,,,,,,,,,,,
CP Feeds,361 County Rd U,Wrightstown,Wisconsin,54180,44.3240547,-88.1968765,,,,,,,,,,,,,,,
Tyson Foods Inc Feed Mill,5024 US-64,Russellville,Arkansas,72802,35.2586254,-93.0648556,,,,,,,,,,,,,,,
Perfection Pet Truck Entrance,30366 Camp Dr,Visalia,California,93291,36.3379087,-119.4117029,,,,,,,,,,,,,,,
Freeman's Feedmill & Farms,2600 US-84,Jonesville,Louisiana,71343,31.6064856,-91.8752295,,,,,,,,,,,,,,,
Key Ingredients,1225 Nelson Pkwy,Viroqua,Wisconsin,54665,43.571157,-90.882347,,,,,,,,,,,,,,,
Peace Valley Production,,Fort Meade,Florida,33841,27.7464449,-81.850782,,,,,,,,,,,,,,,
JDH,2407 Warren Ave,Twin Falls,Idaho,83301,42.5357177,-114.4360067,,,,,,,,,,,,,,,
"York Ag Products, Inc.",1060 Roosevelt Ave,York,Pennsylvania,17404,39.9684264,-76.7516641,,,,,,,,,,,,,,,
"Falls City Foods, LLC",404 Pacific St,Falls City,Nebraska,68355,40.0497283,-95.593811,,,,,,,,,,,,,,,
Somerset Milling Company,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
"Phytobiotics North America, LLC",209 New Edition Ct,Cary,North Carolina,27511,35.7679556,-78.7849862,,,,,,,,,,,,,,,
Aviagen,300 Drake Rd,Sallisaw,Oklahoma,74955,35.434107,-94.7961494,,,,,,,,,,,,,,,
Cottor Farms,2592 20th Ave,Osceola,Wisconsin,54020,45.2381691,-92.6904014,,,,,,,,,,,,,,,
Rudy’s Feed Mill,6845 S Western Ave,Oklahoma City,Oklahoma,73139,35.397037,-97.5306799,,,,,,,,,,,,,,,
"Merrick Pet Care, Inc.",3275 Tierra Blanca Rd,Hereford,Texas,79045,34.7619209,-102.4618225,,,,,,,,,,,,,,,
"Earlybird Nutrition, LLC",300 E Broadway St,Roseville,Illinois,61473,40.7295497,-90.6599446,,,,,,,,,,,,,,,
Spencer Brother's Feed,555 S State St,Mt Carmel,Utah,84755,37.2669483,-112.6476269,,,,,,,,,,,,,,,
Buck Bourbon,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Livestock Nutrition Center,500 Burlington Rd,Saginaw,Texas,76179,32.8649462,-97.3639976,,,,,,,,,,,,,,,
The Harvest Company,6420 OH-119,Maria Stein,Ohio,45860,40.407185,-84.5542,,,,,,,,,,,,,,,
Melody Acre Farms,555 W 350 S,Berne,Indiana,46711,40.6949927,-84.9461109,,,,,,,,,,,,,,,
Midwest Organics,16929 State Hwy EE,Sedalia,Missouri,65301,38.8301,-93.1683931,,,,,,,,,,,,,,,
Natural Farm Feed at The Copper Shop,6229 N Rambo Rd,Spokane,Washington,99224,47.7092236,-117.6244521,,,,,,,,,,,,,,,
Valley Proteins,8394 FM 380,San Angelo,Texas,76905,31.4794135,-100.3011605,,,,,,,,,,,,,,,
Jennie-O Turkey Store,300 Railway Ave,Henning,Minnesota,56551,46.3247743,-95.4448602,,,,,,,,,,,,,,,
Golden Rod Feed Mill,85 13th St NE,Cullman,Alabama,35055,34.189723,-86.850118,,,,,,,,,,,,,,,
Earlybird Nutrition - Chapin,201 Cooper St,Chapin,Illinois,62628,39.7712074,-90.3998144,,,,,,,,,,,,,,,
Hartzell Farm And Etna Elevator,120 N Walnut St,Etna Green,Indiana,46524,41.2771966,-86.0466319,,,,,,,,,,,,,,,
Feedmill,,Fairmount,Georgia,30139,34.3859911,-84.7121532,,,,,,,,,,,,,,,
Cool Canine Natural Dog Treats,26743 Deer Ln,Shell Knob,Missouri,65747,36.5389058,-93.6159685,,,,,,,,,,,,,,,
J.D. Heiskell & Co.,41490 Marble Ave,Stoneham,Colorado,80754,40.6034573,-103.6657703,,,,,,,,,,,,,,,
Lind Marine Collinsville,1285 Collinsville Rd,Suisun City,California,94585,38.0886599,-121.8524604,,,,,,,,,,,,,,,
Penny Newman Grain Co,9183 Survey Rd,Elk Grove,California,95624,38.375779,-121.35863,,,,,,,,,,,,,,,
MASUMEX,"Free Federal Highway km, 45 Warehouse 07 M2",Memphis,Tennessee,38197,35.1001766,-89.8498862,,,,,,,,,,,,,,,
J & R Distributing Inc,518 Main Ave,Lake Norden,South Dakota,57248,44.5806558,-97.2096942,,,,,,,,,,,,,,,
Godfrey's Feed- Desoto,107 Standard Elevator Rd,De Soto,Georgia,31743,31.9543724,-84.0452575,,,,,,,,,,,,,,,
Stuart Farm & Ranch,821 Roosevelt Ave,Stuart,Oklahoma,74570,34.9029935,-96.0996078,,,,,,,,,,,,,,,
Central Farm Service Feed Mill,101 4th Ave,Freeborn,Minnesota,56032,43.7643809,-93.5624283,,,,,,,,,,,,,,,
Standard Advanced Products and Services,247 West Ln Suite 2,Triadelphia,West Virginia,26059,40.0533491,-80.6291361,,,,,,,,,,,,,,,
Countryside Feed LLC,1972 KS-187,Seneca,Kansas,66538,39.8340001,-96.1251703,,,,,,,,,,,,,,,
Grasston Co-Op Feed Mill,209 Oak St,Grasston,Minnesota,55030,45.793451,-93.1487468,,,,,,,,,,,,,,,
Global Nutritional Corporation,527 Grove Ave,Edison,New Jersey,8820,40.5595058,-74.3579684,,,,,,,,,,,,,,,
"Nutrition 101, LLC",4578 Division St,Wayland,Michigan,49348,42.7523068,-85.6644378,,,,,,,,,,,,,,,
Livestock Nutrition Center,3680 Jones Ave,Garden City,Kansas,67846,37.987981,-100.929005,,,,,,,,,,,,,,,
Running Horse Feed,718 N Derby Ln,North Sioux City,South Dakota,57049,42.5356032,-96.496767,,,,,,,,,,,,,,,
Big Sky Minerals,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Land o lakes Purina,635 Collins Blvd,Orrville,Ohio,44667,40.8630301,-81.7585618,,,,,,,,,,,,,,,
Shetler Feeds LLC.,268 Audrain Rd 173,Clark,Missouri,65243,39.3423891,-92.2958419,,,,,,,,,,,,,,,
Hill's Pet Nutrition,1035 NE 43rd St,Topeka,Kansas,66617,39.1204657,-95.6370828,,,,,,,,,,,,,,,
the Rodent Shoppe,129 Plantation Dr,Waller,Texas,77484,30.2415585,-95.8677827,,,,,,,,,,,,,,,
Cooper Farms North Mill,3310 OH-49,Fort Recovery,Ohio,45846,40.4450855,-84.7814883,,,,,,,,,,,,,,,
United Cooperative,1236 Wilson Dr,Waupun,Wisconsin,53963,43.6125827,-88.730118,,,,,,,,,,,,,,,
Kent Feeds,5445 23rd St E,Columbus,Nebraska,68601,41.4371856,-97.258212,,,,,,,,,,,,,,,
Wallace Feed Mill,7567 County Rd 950 S,Winamac,Indiana,46996,40.9193203,-86.749279,,,,,,,,,,,,,,,
George's Inc. Feed Mill,9225 State Highway W,Cassville,Missouri,65625,36.7394142,-93.9167861,,,,,,,,,,,,,,,
Tyson,2305 O'Kelly Rd,Gainesville,Georgia,30507,34.2244737,-83.7870434,,,,,,,,,,,,,,,
Landus - SoyChlor,1301 N Olive St,Jefferson,Iowa,50129,42.0271863,-94.3701406,,,,,,,,,,,,,,,
IFA,2979 West 6300 South,Levan,Utah,84639,39.6144638,-111.8908157,,,,,,,,,,,,,,,
"GFP Global, Inc. DBA Genesis Feed Products",2547 Canyon Gate Pl,Twin Falls,Idaho,83301,42.6071149,-114.49344,,,,,,,,,,,,,,,
Horse Guard Inc,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
AFCO Feed Mill,,,,,47.6550895,-117.2449299,,,,,,,,,,,,,,,
Penny-Newman Grain Co,300 Codoni Ave,Modesto,California,95357,37.6355575,-120.9087387,,,,,,,,,,,,,,,
Mesa Verde Trading Co,2513 W Shaw Ave STE 101,Fresno,California,93711,36.8065996,-119.8372441,,,,,,,,,,,,,,,
Montana Premium Forage,,,,,45.8717485,-112.0973036,,,,,,,,,,,,,,,
Just About Foods,1747 Hancock St A,San Diego,California,92101,32.7415181,-117.1833245,,,,,,,,,,,,,,,
Goat Feed Truck,,,,,40.62811195,-105.5692449,,,,,,,,,,,,,,,
Purina Mill,1886 E 1st St,Fort Worth,Texas,76102,32.7620631,-97.3199663,,,,,,,,,,,,,,,
"Value Feeds, LLC",4727 Sapphire St,Dallas,Texas,75223,32.7800555,-96.7403158,,,,,,,,,,,,,,,
Norris Feedyard,County Rd N,Clovis,New Mexico,88101,34.5327231,-103.2655304,,,,,,,,,,,,,,,
OT Feedyard & Research Center,975 Co Rd 606,Hereford,Texas,79045,34.6754943,-102.3782523,,,,,,,,,,,,,,,
JDH,1616 S Kentucky St c400,Amarillo,Texas,79102,35.1962457,-101.8696985,,,,,,,,,,,,,,,
Brenda and Dudley LLC DBA Cowtown Feed and Livestock,,,,,35.52241385,-108.7234771,,,,,,,,,,,,,,,
Midwest Feeders,,Ingalls,Kansas,67853,37.9436454,-100.4486541,,,,,,,,,,,,,,,
TwoBulls,6716 Scott Rd,Bray,Oklahoma,73055,34.5548934,-97.8674505,,,,,,,,,,,,,,,
OSU Feed Mill,202 Range Rd,Stillwater,Oklahoma,74074,36.120502,-97.141084,,,,,,,,,,,,,,,
Dynamic extrusion,2929A E Apache St,Tulsa,Oklahoma,74110,36.1933017,-95.9466681,,,,,,,,,,,,,,,
Kindstrom-Schmoll Inc,,,,,45.93809595,-91.7443205,,,,,,,,,,,,,,,
PROVITA SUPPLEMENTS Inc.,6103 Blue Cir Dr,Minnetonka,Minnesota,55343,44.8948477,-93.4105589,,,,,,,,,,,,,,,
"Hegg Mill, LLC",N23395 US-53,Ettrick,Wisconsin,54627,44.1776618,-91.2665328,,,,,,,,,,,,,,,
"Olmsted's Big Falls Mill, LLC",130 N. Main St,Big Falls,Wisconsin,54926,44.6163138,-89.0163791,,,,,,,,,,,,,,,
Endeavor Ag & Energy,13400 Van Buren St,Holland,Michigan,49424,42.8693102,-86.1139049,,,,,,,,,,,,,,,
biological prospects,1038 Nandino Blvd,Lexington,Kentucky,40511,38.0777812,-84.5020322,,,,,,,,,,,,,,,
Alliance Milling,2000 Hummel Ave,Camp Hill,Pennsylvania,17011,40.2336425,-76.9149583,,,,,,,,,,,,,,,
Love The Dog,,,,,41.500727,-72.757507,,,,,,,,,,,,,,,
Happy's Feed Store and Fuel Center,35954 US-6,Palisade,Nebraska,69040,40.3451438,-101.1072039,,,,,,,,,,,,,,,
Lapaseotes Broadwater,Unnamed Road,Broadwater,Nebraska,69125,41.5475883,-102.9449005,,,,,,,,,,,,,,,
Blue Creek Feeds,19551 Rd 70,Oshkosh,Nebraska,69154,41.4898525,-102.1843791,,,,,,,,,,,,,,,
Agfinity Feed South Scale,,Eaton,Colorado,80615,40.5249027,-104.7097553,,,,,,,,,,,,,,,
MPM Elite,22875 383rd Ave,Wessington Springs,South Dakota,57382,44.069895,-98.552344,,,,,,,,,,,,,,,
Agfinity Feed South Scale,,Eaton,Colorado,80615,40.5249027,-104.7097553,,,,,,,,,,,,,,,
NexGen Feed Solutions,1222 Co Rd 150,Burns,Wyoming,82053,41.1728369,-104.3304022,,,,,,,,,,,,,,,
"Sunbird, Inc. (Main Office)",702 3rd St SW,Huron,South Dakota,57350,44.362853,-98.225937,,,,,,,,,,,,,,,
Rhea Brothers GP,800 Co Rd W51,Lyons,Nebraska,68038,42.001977,-96.4884407,,,,,,,,,,,,,,,
Chandler Feed Co - Leota,10899 Birkett Ave,Leota,Minnesota,56153,43.8349876,-96.0136795,,,,,,,,,,,,,,,
Barnes Hay & Feed Co,2227 Co Rd B,Uehling,Nebraska,68063,41.7268795,-96.5005248,,,,,,,,,,,,,,,
L&C Custom Feeds,2989 250th St,Doon,Iowa,51235,43.2857938,-96.2007026,,,,,,,,,,,,,,,
Central Valley Ag Feedmill,28115 158th St,Duncan,Nebraska,68634,41.3928358,-97.4858133,,,,,,,,,,,,,,,
PTUSA York,2941 N Division Ave,York,Nebraska,68467,40.8921197,-97.5986363,,,,,,,,,,,,,,,
Agridyne Feed,,Crete,Nebraska,68333,40.6578226,-96.9140324,,,,,,,,,,,,,,,
Seaboard Feedmill,202 Industrial Ave,Okeene,Oklahoma,73763,36.1045494,-98.315483,,,,,,,,,,,,,,,
"Shaw Feedyard, Inc.",2428 County Road 15,Ashland,Kansas,67831,37.1305187,-99.8506642,,,,,,,,,,,,,,,
"Cuprem, Inc.",,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Pleasant Valley Milling,17379 4th Ave,Mullinville,Kansas,67109,37.6417763,-99.5318454,,,,,,,,,,,,,,,
Delta Egg,,Chase,Kansas,67524,38.3751943,-98.3861107,,,,,,,,,,,,,,,
IDS,907 G St,Golden City,Missouri,64748,37.4004983,-94.0978005,,,,,,,,,,,,,,,
Tyson Foods Feed Mill- Bergman,212 Tyson Dr,Bergman,Arkansas,72615,36.3164863,-93.0100402,,,,,,,,,,,,,,,
Perdue AgriBusiness - Earlville Blending Protein Plant,100-198 N William St,Earlville,Iowa,52041,42.4819346,-91.2696489,,,,,,,,,,,,,,,
Darling International Inc.,202 Bengston St,Lynn Center,Illinois,61262,41.2967202,-90.3617065,,,,,,,,,,,,,,,
Dawe's Laboratories,1682 230th St,Moorland,Iowa,50566,42.4548403,-94.2672519,,,,,,,,,,,,,,,
Landus - SoyPlus,406 1st St,Ralston,Iowa,51459,42.0422339,-94.6375691,,,,,,,,,,,,,,,
Landus - SoyPlus,406 1st St,Ralston,Iowa,51459,42.0422339,-94.6375691,,,,,,,,,,,,,,,
Five Star Cooperative - Klemme,205 1st St,Klemme,Iowa,50449,43.0087235,-93.603138,,,,,,,,,,,,,,,
True North Technologies,4206 200th St,Estherville,Iowa,51334,43.3563635,-94.7568427,,,,,,,,,,,,,,,
Dawe's Laboratories,1682 230th St,Moorland,Iowa,50566,42.4548403,-94.2672519,,,,,,,,,,,,,,,
New Fashion Pork,1816 IA-4,Estherville,Iowa,51334,43.3825672,-94.824431,,,,,,,,,,,,,,,
S & S Grains,W26985 Lorch Ln,Arcadia,Wisconsin,54612,44.2942343,-91.4928775,,,,,,,,,,,,,,,
Premier Cooperative,26710 WI-27,Eastman,Wisconsin,54626,43.1811573,-91.0208343,,,,,,,,,,,,,,,
River Country Co-op East Office & Feed Mill,331 Industrial Ave,Owen,Wisconsin,54460,44.9516435,-90.5614963,,,,,,,,,,,,,,,
Superior Milling LLC,6640 U.S. Hwy 136 W,Waynetown,Indiana,47990,40.0763792,-87.0281885,,,,,,,,,,,,,,,
Creighton Brothers Feed Mill,8546 W Old Rd 30,Etna Green,Indiana,46524,41.2685075,-86.0088358,,,,,,,,,,,,,,,
Ceres Solutions,260 E Prosper Rd,Falmouth,Michigan,49632,44.243591,-85.088731,,,,,,,,,,,,,,,
Mealworms R Us LLC,5825 Ridge Rd,Cortland,Ohio,44410,41.3785164,-80.697219,,,,,,,,,,,,,,,
wild whitetail feed and minreal,,,,,40.3785187,-82.47386705,,,,,,,,,,,,,,,
Granite Ridge Feeds,2532 Apple Creek Rd,Apple Creek,Ohio,44606,40.7673587,-81.8364054,,,,,,,,,,,,,,,
Tyson Foods Feed Mill- Corydon,495 IN-64,Ramsey,Indiana,47166,38.3171845,-86.1351,,,,,,,,,,,,,,,
Perdue,1510 W 450 N,Washington,Indiana,47501,38.7220557,-87.1971481,,,,,,,,,,,,,,,
"Pilgrims Pride, Liveoak Feed Mill",1407-1499 Howard St,Live Oak,Florida,32064,30.3038291,-82.9996109,,,,,,,,,,,,,,,
Tri Oak Feed Mill,12445 County Rd 58.5,Sheridan Lake,Colorado,81071,38.4359275,-102.44592,,,,,,,,,,,,,,,
POTTER FEEDYARD,,Dalhart,Texas,79022,36.190969,-102.7212705,,,,,,,,,,,,,,,
Tri Oak Feed Mill,12445 County Rd 58.5,Sheridan Lake,Colorado,81071,38.4359275,-102.44592,,,,,,,,,,,,,,,
Surrency Ga.,,Surrency,Georgia,31563,31.7159183,-82.1748624,,,,,,,,,,,,,,,
Caledonia Farmers Elevator Co. Mason,104 S Lansing St,Mason,Michigan,48854,42.5818922,-84.4483414,,,,,,,,,,,,,,,
Farmers Grain & Supply Co,3589 E 900 S,Star City,Indiana,46985,40.9246788,-86.5307312,,,,,,,,,,,,,,,
Heritage Premium Horse Feed,,,,,39.6230376,-75.631553,,,,,,,,,,,,,,,
Booster Feed Mill,,Tulsa,Oklahoma,74115,36.1775683,-95.9172743,,,,,,,,,,,,,,,
Heirloom Feeds,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Heartland Feeds & Grain,9800 Co Rd 26,West Mansfield,Ohio,43358,40.4330729,-83.569344,,,,,,,,,,,,,,,
Harrison County Feed,15831 W State Hwy F,Bethany,Missouri,64424,40.3025698,-94.1200611,,,,,,,,,,,,,,,
Legacy Feed,477 S County Rd 600 E,New Castle,Indiana,47362,39.9236048,-85.2712608,,,,,,,,,,,,,,,
Wilbur Ellis Nutrition,1520 Forrester Rd,El Centro,California,92243,32.7602404,-115.6198617,,,,,,,,,,,,,,,
Lakeside Feed & Poultry,,Ravenden Springs,Arkansas,72460,36.385559,-91.0577774,,,,,,,,,,,,,,,
Chubby’s Raw Pet Provisions,30490 State Hwy HH,Sedalia,Missouri,65301,38.7554868,-93.1236825,,,,,,,,,,,,,,,
Pinnacle Livestock Nutrition,1 Goodlife Dr,Effingham,Illinois,62401,39.1186616,-88.5336052,,,,,,,,,,,,,,,
Adm Tampa,,Tampa,Florida,33616,27.8620624,-82.550209,,,,,,,,,,,,,,,
BDS Natural Products,14824 Main St,Gardena,California,90248,33.897069,-118.2750114,,,,,,,,,,,,,,,
Hull Coop Sheldon Feed Mill,105 W 8th St,Sheldon,Iowa,51201,43.1826827,-95.8571631,,,,,,,,,,,,,,,
Harleys food production corporation,8440 Glen Arbor Rd,Ben Lomond,California,95005,37.0758957,-122.0802014,,,,,,,,,,,,,,,
"Eastern Colorado Hay Company, LLC",31558 County Rd 2W,Hugo,Colorado,80821,39.1276113,-103.4895889,,,,,,,,,,,,,,,
River Country Co-op Feed Mill,333 WI-97 N,Athens,Wisconsin,54411,45.0442373,-90.0764958,,,,,,,,,,,,,,,
Cargill Feed and Nutrition,25054 Louisville Rd,Park City,Kentucky,42160,37.0957004,-86.0321729,,,,,,,,,,,,,,,
ADM Alliance Nutrition,301 S Jackson St,Nappanee,Indiana,46550,41.4400436,-85.9939797,,,,,,,,,,,,,,,
"Dallas Feed, Seed & Oil",214 E Trade St,Dallas,North Carolina,28034,35.3167106,-81.1734931,,,,,,,,,,,,,,,
Queensharonskitchen,4812 Lakeridge Dr,Ypsilanti,Michigan,48197,42.2542912,-83.6654701,,,,,,,,,,,,,,,
